TRANSCATION_ID;ACCOUNT_ID;TRANSCATION_DATE;TRANSCATION_AMOUNT;YEAR;TRANSCATION_AMOUNT_YEAR_SUM
T00081;A00217;17/06/2014;28074;2014;76372639
T00082;A00237;03/08/2019;1498;2019;76300877
T00083;A00740;25/07/2020;20317;2020;76208785
T00084;A00125;23/09/2016;32791;2016;78279164
T00085;A00394;06/04/2016;75736;2016;78279164
T00086;A00046;08/12/2017;25543;2017;75243074
T00087;A00836;19/01/2019;33090;2019;76300877
T00088;A00062;11/08/2021;70766;2021;71973924
T00089;A00867;24/01/2023;63343;2023;51646874
T00090;A00450;29/08/2019;36523;2019;76300877
T00091;A00700;10/05/2021;54686;2021;71973924
T00092;A00803;29/06/2015;31879;2015;75418969
T00093;A00458;10/05/2016;86558;2016;78279164
T00094;A00436;19/03/2018;4544;2018;77495196
T00095;A00517;17/07/2023;9524;2023;51646874
T00096;A00685;18/06/2021;18715;2021;71973924
T00097;A00587;14/07/2022;39981;2022;73969670
T00098;A00344;18/03/2015;13940;2015;75418969
T00099;A00363;20/03/2020;85099;2020;76208785
T00100;A00081;07/09/2018;28301;2018;77495196
T00101;A00323;26/01/2018;58668;2018;77495196
T00102;A00414;12/02/2014;62505;2014;76372639
T00103;A00018;09/06/2023;11185;2023;51646874
T00104;A00431;06/08/2022;30044;2022;73969670
T00105;A00261;01/03/2021;46031;2021;71973924
T00106;A00510;08/12/2014;56736;2014;76372639
T00107;A00059;18/07/2019;29861;2019;76300877
T00108;A00090;02/03/2018;20748;2018;77495196
T00109;A00988;06/10/2021;56501;2021;71973924
T00110;A00059;01/06/2017;30693;2017;75243074
T00111;A00113;08/06/2022;48224;2022;73969670
T00112;A00740;23/09/2014;73084;2014;76372639
T00113;A00040;11/09/2022;90213;2022;73969670
T00114;A00869;28/03/2023;97556;2023;51646874
T00115;A00196;22/06/2023;29894;2023;51646874
T00116;A00515;29/11/2016;3984;2016;78279164
T00117;A00118;12/12/2019;48081;2019;76300877
T00118;A00075;20/06/2020;17285;2020;76208785
T00119;A00175;21/03/2020;20207;2020;76208785
T00120;A00786;17/04/2022;74948;2022;73969670
T00121;A00358;01/03/2023;80793;2023;51646874
T00122;A00108;08/08/2020;33978;2020;76208785
T00123;A00642;14/05/2015;17843;2015;75418969
T00124;A00360;19/04/2018;75186;2018;77495196
T00125;A00846;29/11/2015;2428;2015;75418969
T00126;A00036;02/12/2018;35544;2018;77495196
T00127;A00896;09/11/2020;63050;2020;76208785
T00128;A00610;05/12/2016;22660;2016;78279164
T00129;A00674;28/02/2015;17023;2015;75418969
T00130;A00932;26/02/2023;46382;2023;51646874
T00131;A00783;29/08/2018;84003;2018;77495196
T00132;A00095;27/04/2021;20369;2021;71973924
T00133;A00460;11/11/2014;96806;2014;76372639
T00134;A00089;01/09/2014;13266;2014;76372639
T00135;A00565;05/04/2023;46886;2023;51646874
T00136;A00227;24/01/2016;51052;2016;78279164
T00137;A00041;10/04/2017;18239;2017;75243074
T00138;A00103;14/12/2022;42854;2022;73969670
T00139;A00738;30/05/2021;32019;2021;71973924
T00140;A00211;29/06/2018;8617;2018;77495196
T00141;A00593;25/04/2018;68548;2018;77495196
T00142;A00987;21/05/2023;8271;2023;51646874
T00143;A00170;07/09/2015;9013;2015;75418969
T00144;A00312;19/10/2017;78998;2017;75243074
T00145;A00626;10/12/2016;59078;2016;78279164
T00146;A00046;21/11/2013;18478;2013;15557650
T00147;A00032;27/12/2022;26472;2022;73969670
T00148;A00048;17/11/2017;55346;2017;75243074
T00149;A00761;13/09/2014;30817;2014;76372639
T00150;A00830;09/12/2016;51469;2016;78279164
T00151;A00052;25/04/2021;52098;2021;71973924
T00152;A00280;14/12/2013;70028;2013;15557650
T00153;A00658;18/05/2021;47054;2021;71973924
T00154;A00091;21/10/2018;77689;2018;77495196
T00155;A00502;05/09/2015;45403;2015;75418969
T00156;A00835;21/09/2015;19113;2015;75418969
T00157;A00338;02/11/2021;27547;2021;71973924
T00158;A00752;15/01/2017;9214;2017;75243074
T00159;A00172;11/08/2020;54797;2020;76208785
T00160;A00941;13/09/2017;15904;2017;75243074
T00161;A00071;20/07/2020;91441;2020;76208785
T00162;A00165;14/11/2013;60574;2013;15557650
T00163;A00206;26/03/2018;48142;2018;77495196
T00164;A00493;30/03/2014;34273;2014;76372639
T00165;A00855;11/08/2015;74540;2015;75418969
T00166;A00292;24/10/2014;45061;2014;76372639
T00167;A00920;15/11/2017;78563;2017;75243074
T00168;A00718;11/12/2020;37965;2020;76208785
T00169;A00409;17/12/2016;54094;2016;78279164
T00170;A00602;11/06/2021;13743;2021;71973924
T00171;A00627;22/11/2014;76575;2014;76372639
T00172;A00173;27/04/2022;67093;2022;73969670
T00173;A00623;22/03/2023;57460;2023;51646874
T00174;A00626;26/09/2018;72675;2018;77495196
T00175;A00570;02/04/2019;99622;2019;76300877
T00176;A00886;18/09/2019;63530;2019;76300877
T00177;A00115;02/10/2018;46814;2018;77495196
T00178;A00954;26/12/2016;28393;2016;78279164
T00179;A00685;26/03/2022;34218;2022;73969670
T00180;A00416;24/01/2022;70544;2022;73969670
T00181;A00553;20/03/2023;44979;2023;51646874
T00182;A00992;10/05/2019;55598;2019;76300877
T00183;A00339;11/07/2020;40373;2020;76208785
T00184;A00491;29/03/2016;57279;2016;78279164
T00185;A00557;19/10/2015;82481;2015;75418969
T00186;A00534;31/05/2022;37207;2022;73969670
T00187;A00446;30/07/2020;82862;2020;76208785
T00188;A00322;01/10/2020;34047;2020;76208785
T00189;A00446;16/09/2019;72369;2019;76300877
T00190;A00077;26/11/2015;47712;2015;75418969
T00191;A00773;20/03/2019;38882;2019;76300877
T00192;A00931;14/03/2023;83477;2023;51646874
T00193;A00160;26/11/2021;57882;2021;71973924
T00194;A00671;12/11/2015;49980;2015;75418969
T00195;A00102;09/11/2013;58617;2013;15557650
T00196;A00752;25/04/2015;69970;2015;75418969
T00197;A00834;21/05/2019;35510;2019;76300877
T00198;A00751;20/08/2014;62361;2014;76372639
T00199;A00978;02/03/2014;10990;2014;76372639
T00200;A00675;03/05/2023;75130;2023;51646874
T00201;A00842;14/07/2021;58447;2021;71973924
T00202;A00691;18/01/2019;28189;2019;76300877
T00203;A00304;03/02/2017;89397;2017;75243074
T00204;A00128;25/05/2017;97769;2017;75243074
T00205;A00362;20/03/2016;60147;2016;78279164
T00206;A00945;18/04/2015;71861;2015;75418969
T00207;A00630;21/03/2021;61319;2021;71973924
T00208;A00725;16/09/2017;67650;2017;75243074
T00209;A00403;14/01/2015;69776;2015;75418969
T00210;A00511;05/09/2014;76982;2014;76372639
T00211;A00169;24/04/2021;57775;2021;71973924
T00212;A00889;09/07/2018;93904;2018;77495196
T00213;A00042;18/12/2013;59941;2013;15557650
T00214;A00944;26/11/2019;27526;2019;76300877
T00215;A00753;20/08/2016;26206;2016;78279164
T00216;A00888;30/09/2017;36547;2017;75243074
T00217;A00973;20/09/2022;83388;2022;73969670
T00218;A00975;02/10/2019;23871;2019;76300877
T00219;A00877;24/01/2023;81325;2023;51646874
T00220;A00861;17/06/2016;11500;2016;78279164
T00221;A00881;14/07/2019;77157;2019;76300877
T00222;A00137;28/04/2023;16445;2023;51646874
T00223;A00957;14/02/2022;93692;2022;73969670
T00224;A00953;03/04/2015;95864;2015;75418969
T00225;A00204;24/11/2013;55359;2013;15557650
T00226;A00415;08/09/2022;31151;2022;73969670
T00227;A00978;24/01/2015;26236;2015;75418969
T00228;A00159;26/03/2017;71614;2017;75243074
T00229;A00660;04/02/2021;15033;2021;71973924
T00230;A00732;15/11/2019;79974;2019;76300877
T00231;A00801;10/02/2015;42419;2015;75418969
T00232;A00801;18/05/2014;37859;2014;76372639
T00233;A00567;02/12/2020;85622;2020;76208785
T00234;A00165;12/05/2020;10048;2020;76208785
T00235;A00278;22/08/2016;38487;2016;78279164
T00236;A00163;27/08/2020;78437;2020;76208785
T00237;A00430;28/07/2018;77087;2018;77495196
T00238;A00781;20/07/2020;37986;2020;76208785
T00239;A00473;21/01/2020;13621;2020;76208785
T00240;A00868;26/04/2020;51218;2020;76208785
T00241;A00564;21/01/2015;31854;2015;75418969
T00242;A00972;16/09/2020;61055;2020;76208785
T00243;A00257;28/05/2015;3713;2015;75418969
T00244;A00549;15/03/2014;54316;2014;76372639
T00245;A00145;13/08/2021;69699;2021;71973924
T00246;A00527;27/04/2018;48774;2018;77495196
T00247;A01000;10/12/2013;95089;2013;15557650
T00248;A00035;10/05/2020;17716;2020;76208785
T00249;A00969;06/02/2021;45995;2021;71973924
T00250;A00139;31/01/2016;47496;2016;78279164
T00251;A00246;28/04/2023;67895;2023;51646874
T00252;A00794;16/08/2016;91210;2016;78279164
T00253;A00027;31/03/2023;50518;2023;51646874
T00254;A00943;15/11/2018;16115;2018;77495196
T00255;A00551;26/05/2018;63509;2018;77495196
T00256;A00039;07/01/2015;10346;2015;75418969
T00257;A00104;21/12/2022;49383;2022;73969670
T00258;A00744;05/05/2014;17653;2014;76372639
T00259;A00399;16/03/2017;68971;2017;75243074
T00260;A00461;18/08/2023;54094;2023;51646874
T00261;A00641;21/09/2016;85125;2016;78279164
T00262;A00978;11/09/2017;74678;2017;75243074
T00263;A00214;23/09/2017;62021;2017;75243074
T00264;A00737;25/03/2021;96169;2021;71973924
T00265;A00579;18/03/2014;17989;2014;76372639
T00266;A00429;28/12/2014;97215;2014;76372639
T00267;A00604;21/05/2014;61665;2014;76372639
T00268;A00250;17/03/2022;39563;2022;73969670
T00269;A00092;20/08/2016;64735;2016;78279164
T00270;A00074;16/10/2018;3963;2018;77495196
T00271;A00662;15/08/2018;58399;2018;77495196
T00272;A00406;13/05/2015;94368;2015;75418969
T00273;A00002;23/09/2014;53611;2014;76372639
T00274;A00176;14/10/2017;18703;2017;75243074
T00275;A00955;15/09/2020;51949;2020;76208785
T00276;A00168;02/07/2017;25777;2017;75243074
T00277;A00909;21/08/2021;98016;2021;71973924
T00278;A00659;30/08/2022;37696;2022;73969670
T00279;A00479;15/01/2016;79110;2016;78279164
T00280;A00803;12/01/2023;52117;2023;51646874
T00281;A00391;22/09/2017;40736;2017;75243074
T00282;A00643;03/12/2021;2005;2021;71973924
T00283;A00759;21/03/2023;549;2023;51646874
T00284;A00463;13/12/2015;5955;2015;75418969
T00285;A00274;04/09/2022;36616;2022;73969670
T00286;A00436;15/11/2019;96015;2019;76300877
T00287;A00343;03/01/2015;63548;2015;75418969
T00288;A00435;15/06/2020;57062;2020;76208785
T00289;A00002;23/04/2014;9077;2014;76372639
T00290;A00129;01/10/2017;12452;2017;75243074
T00291;A00326;06/09/2016;14410;2016;78279164
T00292;A00399;23/07/2019;60428;2019;76300877
T00293;A00742;08/12/2013;99908;2013;15557650
T00294;A00110;06/05/2020;28723;2020;76208785
T00295;A00206;10/03/2019;22604;2019;76300877
T00296;A00771;30/03/2018;52793;2018;77495196
T00297;A00209;01/02/2018;84743;2018;77495196
T00298;A00646;09/03/2018;22276;2018;77495196
T00299;A00737;18/07/2018;47878;2018;77495196
T00300;A00565;08/07/2020;51312;2020;76208785
T00301;A00543;02/07/2019;37440;2019;76300877
T00302;A00251;03/04/2015;77306;2015;75418969
T00303;A00219;26/04/2017;41706;2017;75243074
T00304;A00431;02/12/2016;14847;2016;78279164
T00305;A00178;21/10/2017;78449;2017;75243074
T00306;A00589;13/12/2013;22938;2013;15557650
T00307;A00767;27/04/2017;82615;2017;75243074
T00308;A00468;05/07/2016;14778;2016;78279164
T00309;A00537;09/07/2020;96770;2020;76208785
T00310;A00799;08/04/2018;28331;2018;77495196
T00311;A00147;06/01/2017;98991;2017;75243074
T00312;A00190;17/07/2023;82420;2023;51646874
T00313;A00103;08/12/2013;59851;2013;15557650
T00314;A00749;04/07/2023;27602;2023;51646874
T00315;A00663;25/05/2015;81099;2015;75418969
T00316;A00882;23/11/2019;78856;2019;76300877
T00317;A00984;10/10/2019;92894;2019;76300877
T00318;A00140;26/08/2018;95184;2018;77495196
T00319;A00121;14/03/2016;4259;2016;78279164
T00320;A00946;19/03/2023;90898;2023;51646874
T00321;A00847;12/09/2020;42967;2020;76208785
T00322;A00499;25/08/2022;54386;2022;73969670
T00323;A00459;13/11/2013;78432;2013;15557650
T00324;A00860;01/07/2021;88236;2021;71973924
T00325;A00633;24/12/2015;40789;2015;75418969
T00326;A00447;14/11/2019;29558;2019;76300877
T00327;A00285;26/03/2023;85290;2023;51646874
T00328;A00930;01/07/2019;35925;2019;76300877
T00329;A00125;22/03/2015;27019;2015;75418969
T00330;A00355;28/09/2022;21561;2022;73969670
T00331;A00465;16/08/2015;5428;2015;75418969
T00332;A00672;29/11/2018;7517;2018;77495196
T00333;A00872;14/01/2018;98002;2018;77495196
T00334;A00642;09/01/2021;28596;2021;71973924
T00335;A00830;20/06/2014;6293;2014;76372639
T00336;A00681;09/08/2015;24289;2015;75418969
T00337;A00167;28/04/2020;2900;2020;76208785
T00338;A00500;09/09/2017;57180;2017;75243074
T00339;A00815;30/09/2018;22395;2018;77495196
T00340;A00522;19/06/2016;53050;2016;78279164
T00341;A00582;19/08/2023;73493;2023;51646874
T00342;A00837;23/06/2021;90930;2021;71973924
T00343;A00726;18/02/2020;40301;2020;76208785
T00344;A00877;11/09/2020;99347;2020;76208785
T00345;A00662;03/11/2015;52688;2015;75418969
T00346;A00195;01/07/2016;26394;2016;78279164
T00347;A00129;04/11/2018;23082;2018;77495196
T00348;A00647;30/09/2022;26815;2022;73969670
T00349;A00204;16/06/2016;75837;2016;78279164
T00350;A00171;18/06/2023;61429;2023;51646874
T00351;A00945;17/04/2023;15042;2023;51646874
T00352;A00380;07/02/2021;50452;2021;71973924
T00353;A00149;12/03/2023;70275;2023;51646874
T00354;A00710;28/02/2021;18756;2021;71973924
T00355;A00712;16/08/2016;91013;2016;78279164
T00356;A00533;22/06/2016;1923;2016;78279164
T00357;A00437;05/11/2020;51290;2020;76208785
T00358;A00130;29/04/2017;3038;2017;75243074
T00359;A00626;23/03/2014;62438;2014;76372639
T00360;A00747;01/08/2018;79206;2018;77495196
T00361;A00569;26/09/2015;82266;2015;75418969
T00362;A00751;24/11/2013;7944;2013;15557650
T00363;A00534;17/08/2014;23845;2014;76372639
T00364;A00431;31/12/2013;57284;2013;15557650
T00365;A00803;15/08/2023;31219;2023;51646874
T00366;A00459;09/06/2019;18659;2019;76300877
T00367;A00916;24/02/2017;35240;2017;75243074
T00368;A00606;08/08/2020;19193;2020;76208785
T00369;A00693;09/10/2019;20237;2019;76300877
T00370;A00421;02/05/2014;36046;2014;76372639
T00371;A00394;06/03/2014;68539;2014;76372639
T00372;A00652;24/10/2013;88776;2013;15557650
T00373;A00895;22/11/2019;80828;2019;76300877
T00374;A00777;19/03/2022;46815;2022;73969670
T00375;A00449;07/08/2021;96838;2021;71973924
T00376;A00515;28/06/2014;8505;2014;76372639
T00377;A00849;13/06/2020;79639;2020;76208785
T00378;A00426;25/05/2018;88157;2018;77495196
T00379;A00087;12/06/2021;11033;2021;71973924
T00380;A00519;22/05/2020;84372;2020;76208785
T00381;A00576;16/03/2020;113;2020;76208785
T00382;A00607;07/03/2018;83181;2018;77495196
T00383;A00334;26/10/2018;10788;2018;77495196
T00384;A00651;05/09/2021;92380;2021;71973924
T00385;A00566;15/08/2021;5800;2021;71973924
T00386;A00708;30/07/2021;12810;2021;71973924
T00387;A00134;17/04/2018;87580;2018;77495196
T00388;A00524;01/03/2021;545;2021;71973924
T00389;A00334;03/12/2019;49774;2019;76300877
T00390;A00653;19/10/2016;57862;2016;78279164
T00391;A00576;29/06/2014;96943;2014;76372639
T00392;A00148;17/09/2015;73426;2015;75418969
T00393;A00455;07/03/2018;34682;2018;77495196
T00394;A00478;29/10/2016;21240;2016;78279164
T00395;A00282;22/09/2016;62841;2016;78279164
T00396;A00675;28/09/2015;35311;2015;75418969
T00397;A00760;07/07/2022;4763;2022;73969670
T00398;A00691;09/05/2022;68324;2022;73969670
T00399;A00266;26/03/2016;65691;2016;78279164
T00400;A00902;22/04/2015;10641;2015;75418969
T00401;A00812;09/06/2022;45316;2022;73969670
T00402;A00214;26/06/2018;46704;2018;77495196
T00403;A00944;18/10/2018;20610;2018;77495196
T00404;A00394;26/02/2014;18809;2014;76372639
T00405;A00539;04/03/2021;51503;2021;71973924
T00406;A00629;13/09/2019;8988;2019;76300877
T00407;A00862;21/01/2022;87706;2022;73969670
T00408;A00201;09/10/2016;52435;2016;78279164
T00409;A00081;28/07/2022;57832;2022;73969670
T00410;A00414;04/12/2018;31932;2018;77495196
T00411;A00344;06/08/2017;94579;2017;75243074
T00412;A00062;20/02/2020;73133;2020;76208785
T00413;A00148;12/01/2023;48701;2023;51646874
T00414;A00287;23/12/2017;48633;2017;75243074
T00415;A00665;08/06/2017;18844;2017;75243074
T00416;A00728;07/02/2019;29277;2019;76300877
T00417;A00101;22/12/2014;98731;2014;76372639
T00418;A00276;08/06/2014;79671;2014;76372639
T00419;A00058;25/06/2014;82364;2014;76372639
T00420;A00165;27/10/2013;59119;2013;15557650
T00421;A00039;02/05/2018;87895;2018;77495196
T00422;A00789;02/04/2016;9938;2016;78279164
T00423;A00659;22/04/2014;88131;2014;76372639
T00424;A00865;16/03/2018;25830;2018;77495196
T00425;A00572;23/09/2018;70311;2018;77495196
T00426;A00683;16/03/2023;86952;2023;51646874
T00427;A00870;15/05/2021;62578;2021;71973924
T00428;A00522;25/12/2021;92010;2021;71973924
T00429;A00704;08/02/2018;48490;2018;77495196
T00430;A00411;05/03/2023;21251;2023;51646874
T00431;A00034;24/07/2015;22588;2015;75418969
T00432;A00216;14/05/2019;16438;2019;76300877
T00433;A00048;06/07/2019;725;2019;76300877
T00434;A00232;18/04/2016;24855;2016;78279164
T00435;A00272;18/09/2016;2375;2016;78279164
T00436;A00858;22/11/2014;12114;2014;76372639
T00437;A00538;14/03/2015;39127;2015;75418969
T00438;A00457;28/10/2018;90040;2018;77495196
T00439;A00576;06/01/2016;90906;2016;78279164
T00440;A00332;09/12/2018;22865;2018;77495196
T00441;A00856;08/02/2021;57126;2021;71973924
T00442;A00215;01/09/2021;34538;2021;71973924
T00443;A00250;10/06/2014;72116;2014;76372639
T00444;A00218;06/03/2023;37261;2023;51646874
T00445;A00325;05/04/2020;31150;2020;76208785
T00446;A00229;21/11/2021;40979;2021;71973924
T00447;A00730;23/03/2020;36113;2020;76208785
T00448;A00392;13/09/2020;52457;2020;76208785
T00449;A00872;24/08/2022;51734;2022;73969670
T00450;A00431;10/01/2023;76441;2023;51646874
T00451;A00518;25/10/2019;17365;2019;76300877
T00452;A00605;12/11/2019;69247;2019;76300877
T00453;A00768;26/04/2015;81642;2015;75418969
T00454;A00238;27/02/2017;58847;2017;75243074
T00455;A00308;17/06/2016;2012;2016;78279164
T00456;A00255;29/09/2016;66449;2016;78279164
T00457;A00857;09/07/2023;29340;2023;51646874
T00458;A00553;18/05/2015;62038;2015;75418969
T00459;A00113;03/02/2014;79336;2014;76372639
T00460;A00421;02/03/2014;19249;2014;76372639
T00461;A00194;27/11/2017;70676;2017;75243074
T00462;A00363;24/07/2018;4840;2018;77495196
T00463;A00555;21/05/2022;94796;2022;73969670
T00464;A00162;27/06/2019;13797;2019;76300877
T00465;A00487;25/03/2015;14620;2015;75418969
T00466;A00127;14/02/2022;67290;2022;73969670
T00467;A00214;14/02/2017;31361;2017;75243074
T00468;A00561;29/07/2016;46316;2016;78279164
T00469;A00966;07/10/2014;19455;2014;76372639
T00470;A00115;01/11/2021;50731;2021;71973924
T00471;A00422;10/04/2018;34499;2018;77495196
T00472;A00642;21/02/2023;43653;2023;51646874
T00473;A00996;23/07/2014;19830;2014;76372639
T00474;A00094;17/12/2020;92688;2020;76208785
T00475;A00713;12/07/2020;81942;2020;76208785
T00476;A00470;16/05/2021;65432;2021;71973924
T00477;A00292;04/09/2016;81910;2016;78279164
T00478;A00837;14/03/2015;82445;2015;75418969
T00479;A00825;23/01/2017;77072;2017;75243074
T00480;A00825;02/11/2021;58090;2021;71973924
T00481;A00348;14/07/2021;7341;2021;71973924
T00482;A00630;05/08/2020;11812;2020;76208785
T00483;A00671;08/03/2017;94434;2017;75243074
T00484;A00272;06/12/2021;71889;2021;71973924
T00485;A00928;17/02/2019;84707;2019;76300877
T00486;A00034;31/03/2022;52195;2022;73969670
T00487;A00598;12/10/2019;77957;2019;76300877
T00488;A00742;01/01/2017;38111;2017;75243074
T00489;A00136;26/04/2018;53980;2018;77495196
T00490;A00984;11/12/2022;39157;2022;73969670
T00491;A00662;23/12/2016;2301;2016;78279164
T00492;A00848;12/07/2023;20822;2023;51646874
T00493;A00560;31/12/2022;78299;2022;73969670
T00494;A00561;01/10/2015;4571;2015;75418969
T00495;A00936;22/05/2020;56054;2020;76208785
T00496;A00699;30/11/2017;78827;2017;75243074
T00497;A00517;21/11/2021;23813;2021;71973924
T00498;A00320;08/07/2021;41119;2021;71973924
T00499;A00886;13/12/2015;36832;2015;75418969
T00500;A00836;19/04/2018;99821;2018;77495196
T00501;A00521;01/11/2019;98599;2019;76300877
T00502;A00172;30/10/2015;4118;2015;75418969
T00503;A00025;05/08/2015;97144;2015;75418969
T00504;A00115;19/06/2014;22934;2014;76372639
T00505;A00252;07/01/2017;64992;2017;75243074
T00506;A00219;19/08/2019;17704;2019;76300877
T00507;A00853;04/12/2020;3570;2020;76208785
T00508;A00760;02/05/2021;26533;2021;71973924
T00509;A00427;03/01/2015;35053;2015;75418969
T00510;A00228;21/10/2015;95765;2015;75418969
T00511;A00846;05/07/2022;13040;2022;73969670
T00512;A00601;14/07/2023;899;2023;51646874
T00513;A00286;25/06/2016;90959;2016;78279164
T00514;A00405;01/12/2017;84537;2017;75243074
T00515;A00614;26/12/2020;38863;2020;76208785
T00516;A00507;10/12/2022;52554;2022;73969670
T00517;A00371;14/08/2018;3976;2018;77495196
T00518;A00797;09/05/2018;37759;2018;77495196
T00519;A00529;29/12/2019;82364;2019;76300877
T00520;A00360;22/08/2014;34291;2014;76372639
T00521;A00586;09/03/2018;90862;2018;77495196
T00522;A00318;08/09/2014;62183;2014;76372639
T00523;A00612;27/06/2021;41266;2021;71973924
T00524;A00694;28/09/2014;42084;2014;76372639
T00525;A00921;14/03/2022;87948;2022;73969670
T00526;A00619;05/09/2016;87762;2016;78279164
T00527;A00546;18/11/2014;29426;2014;76372639
T00528;A00785;23/07/2018;22260;2018;77495196
T00529;A00202;02/08/2017;10718;2017;75243074
T00530;A00781;26/12/2019;2286;2019;76300877
T00531;A00277;04/09/2019;10563;2019;76300877
T00532;A00862;02/01/2015;28417;2015;75418969
T00533;A00500;13/10/2016;39694;2016;78279164
T00534;A00612;20/07/2015;84853;2015;75418969
T00535;A00197;14/10/2014;29840;2014;76372639
T00536;A00101;12/12/2018;33004;2018;77495196
T00537;A00080;28/01/2018;51088;2018;77495196
T00538;A00773;12/10/2020;77437;2020;76208785
T00539;A00212;15/02/2022;11367;2022;73969670
T00540;A00501;25/09/2020;34333;2020;76208785
T00541;A00376;28/09/2017;10295;2017;75243074
T00542;A00390;02/07/2022;89995;2022;73969670
T00543;A00458;28/07/2016;52073;2016;78279164
T00544;A00733;23/07/2017;32867;2017;75243074
T00545;A00133;03/07/2015;54634;2015;75418969
T00546;A00506;01/01/2019;74681;2019;76300877
T00547;A00620;14/05/2022;53516;2022;73969670
T00548;A00938;15/11/2016;63858;2016;78279164
T00549;A00636;24/02/2016;37458;2016;78279164
T00550;A00221;21/03/2016;80086;2016;78279164
T00551;A00592;08/05/2017;68449;2017;75243074
T00552;A00636;22/01/2017;97418;2017;75243074
T00553;A00875;15/05/2015;8400;2015;75418969
T00554;A00542;10/08/2019;21075;2019;76300877
